,经度,纬度,连接顺序,块,名称
206,121.405969,30.70317,14.0,5.0,上海市
207,121.405969,30.703448,15.0,5.0,上海市
208,121.406178,30.704242,16.0,5.0,上海市
209,121.40636,30.704707,17.0,5.0,上海市
210,121.406568,30.704916,18.0,5.0,上海市
211,121.406768,30.704994,19.0,5.0,上海市
212,121.422454,30.691481,1.0,6.0,上海市
213,121.423764,30.691322,2.0,6.0,上海市
214,121.424874,30.691379,3.0,6.0,上海市
215,121.425967,30.691479,4.0,6.0,上海市
216,121.426618,30.69128,5.0,6.0,上海市
217,121.427389,30.690683,6.0,6.0,上海市
218,121.428447,30.689769,7.0,6.0,上海市
219,121.428915,30.689114,8.0,6.0,上海市
220,121.428698,30.688577,9.0,6.0,上海市
221,121.428247,30.688222,10.0,6.0,上海市
222,121.425368,30.687369,11.0,6.0,上海市
223,121.424735,30.687469,12.0,6.0,上海市
224,121.424041,30.687906,13.0,6.0,上海市
225,121.423313,30.688562,14.0,6.0,上海市
226,121.422316,30.688961,15.0,6.0,上海市
227,121.421284,30.689139,16.0,6.0,上海市
228,121.420277,30.689479,17.0,6.0,上海市
229,121.419479,30.689855,18.0,6.0,上海市
230,121.418829,30.690511,19.0,6.0,上海市
231,121.418751,30.691106,20.0,6.0,上海市
232,121.41895,30.691405,21.0,6.0,上海市
233,121.419462,30.691622,22.0,6.0,上海市
234,121.420694,30.691641,23.0,6.0,上海市
235,121.422454,30.691481,24.0,6.0,上海市
236,121.426677,30.682181,1.0,7.0,上海市
237,121.427068,30.682126,2.0,7.0,上海市
238,121.428203,30.681856,3.0,7.0,上海市
239,121.428594,30.681747,4.0,7.0,上海市
240,121.42868,30.681695,5.0,7.0,上海市
241,121.428732,30.681595,6.0,7.0,上海市
242,121.428741,30.681484,7.0,7.0,上海市
243,121.428697,30.681369,8.0,7.0,上海市
244,121.428576,30.681246,9.0,7.0,上海市
245,121.428177,30.681137,10.0,7.0,上海市
246,121.427986,30.681038,11.0,7.0,上海市
247,121.4279,30.680914,12.0,7.0,上海市
248,121.427822,30.680667,13.0,7.0,上海市
249,121.427657,30.680398,14.0,7.0,上海市
250,121.427475,30.680278,15.0,7.0,上海市
251,121.427249,30.680209,16.0,7.0,上海市
252,121.427024,30.680235,17.0,7.0,上海市
253,121.42679,30.680309,18.0,7.0,上海市
254,121.426651,30.680459,19.0,7.0,上海市
255,121.426547,30.680711,20.0,7.0,上海市
256,121.426486,30.681124,21.0,7.0,上海市
257,121.426417,30.681734,22.0,7.0,上海市
258,121.426426,30.681997,23.0,7.0,上海市
259,121.426478,30.682127,24.0,7.0,上海市
260,121.426582,30.682166,25.0,7.0,上海市
261,121.426677,30.682181,26.0,7.0,上海市
262,121.943251,31.215466,1.0,8.0,上海市
263,121.94659,31.224363,2.0,8.0,上海市
264,121.951042,31.228817,3.0,8.0,上海市
265,121.957253,31.230419,4.0,8.0,上海市
266,121.969182,31.230287,5.0,8.0,上海市
267,121.98066,31.228092,6.0,8.0,上海市
268,121.989661,31.224526,7.0,8.0,上海市
269,122.008565,31.220992,8.0,8.0,上海市
270,122.01104,31.217408,9.0,8.0,上海市
271,122.012615,31.210006,10.0,8.0,上海市
272,122.012013,31.192044,11.0,8.0,上海市
273,122.010587,31.188002,12.0,8.0,上海市
274,122.00541,31.176988,13.0,8.0,上海市
275,121.999558,31.165074,14.0,8.0,上海市
276,121.995731,31.160798,15.0,8.0,上海市
277,121.975861,31.158839,16.0,8.0,上海市
278,121.970769,31.157556,17.0,8.0,上海市
279,121.965678,31.157543,18.0,8.0,上海市
280,121.959631,31.159276,19.0,8.0,上海市
281,121.952629,31.167202,20.0,8.0,上海市
282,121.948021,31.176403,21.0,8.0,上海市
283,121.944839,31.18688,22.0,8.0,上海市
284,121.942614,31.198469,23.0,8.0,上海市
285,121.941824,31.20768,24.0,8.0,上海市
286,121.943251,31.215466,25.0,8.0,上海市
287,121.80178,31.356974,1.0,9.0,上海市
288,121.800564,31.363992,2.0,9.0,上海市
289,121.797673,31.369639,3.0,9.0,上海市
290,121.794326,31.374829,4.0,9.0,上海市
291,121.792804,31.377577,5.0,9.0,上海市
292,121.792804,31.379407,6.0,9.0,上海市
293,121.79387,31.380473,7.0,9.0,上海市
294,121.796761,31.381079,8.0,9.0,上海市
295,121.803456,31.381222,9.0,9.0,上海市
296,121.810453,31.380752,10.0,9.0,上海市
297,121.81745,31.380588,11.0,9.0,上海市
298,121.820492,31.379972,12.0,9.0,上海市
299,121.82475,31.378591,13.0,9.0,上海市
300,121.8284,31.376449,14.0,9.0,上海市
301,121.831746,31.375528,15.0,9.0,上海市
302,121.836004,31.375215,16.0,9.0,上海市
303,121.841935,31.375051,17.0,9.0,上海市
304,121.845585,31.374587,18.0,9.0,上海市
305,121.852886,31.371371,19.0,9.0,上海市
306,121.858514,31.369379,20.0,9.0,上海市
307,121.870381,31.366006,21.0,9.0,上海市
308,121.87586,31.364169,22.0,9.0,上海市
309,121.879056,31.362793,23.0,9.0,上海市
310,121.913071,31.350442,24.0,9.0,上海市
311,121.951729,31.337269,25.0,9.0,上海市
312,122.001555,31.329251,26.0,9.0,上海市
313,122.041072,31.323811,27.0,9.0,上海市
314,122.078012,31.323524,28.0,9.0,上海市
315,122.116671,31.321234,29.0,9.0,上海市
316,122.121979,31.315438,30.0,9.0,上海市
317,122.122684,31.307202,31.0,9.0,上海市
318,122.105206,31.262136,32.0,9.0,上海市
319,122.097771,31.255658,33.0,9.0,上海市
320,122.087286,31.257541,34.0,9.0,上海市
321,122.071999,31.266826,35.0,9.0,上海市
322,122.016446,31.282289,36.0,9.0,上海市
323,121.975783,31.279998,37.0,9.0,上海市
324,121.932257,31.283148,38.0,9.0,上海市
325,121.900758,31.291166,39.0,9.0,上海市
326,121.88959,31.292025,40.0,9.0,上海市
327,121.865962,31.294935,41.0,9.0,上海市
328,121.860789,31.294943,42.0,9.0,上海市
329,121.858964,31.294336,43.0,9.0,上海市
330,121.856682,31.292814,44.0,9.0,上海市
331,121.852879,31.292363,45.0,9.0,上海市
332,121.844362,31.294514,46.0,9.0,上海市
333,121.840559,31.295436,47.0,9.0,上海市
334,121.838583,31.296813,48.0,9.0,上海市
335,121.833603,31.299651,49.0,9.0,上海市
336,121.832044,31.301706,50.0,9.0,上海市
337,121.827634,31.304307,51.0,9.0,上海市
338,121.822615,31.307367,52.0,9.0,上海市
339,121.813186,31.316231,53.0,9.0,上海市
340,121.806646,31.324173,54.0,9.0,上海市
341,121.803756,31.328449,55.0,9.0,上海市
342,121.803147,31.33211,56.0,9.0,上海市
343,121.802692,31.342788,57.0,9.0,上海市
344,121.80178,31.356974,58.0,9.0,上海市
345,120.901358,31.017499,1.0,10.0,上海市
346,120.901054,31.018632,2.0,10.0,上海市
347,120.90056,31.020428,3.0,10.0,上海市
348,120.900985,31.022458,4.0,10.0,上海市
349,120.901342,31.025505,5.0,10.0,上海市
350,120.901411,31.027466,6.0,10.0,上海市
351,120.901507,31.033487,7.0,10.0,上海市
352,120.901976,31.037643,8.0,10.0,上海市
353,120.901456,31.038753,9.0,10.0,上海市
354,120.899737,31.039602,10.0,10.0,上海市
355,120.897021,31.045579,11.0,10.0,上海市
356,120.897212,31.048223,12.0,10.0,上海市
357,120.896483,31.049025,13.0,10.0,上海市
358,120.895442,31.050326,14.0,10.0,上海市
359,120.894566,31.053892,15.0,10.0,上海市
360,120.894619,31.05866,16.0,10.0,上海市
361,120.895912,31.063076,17.0,10.0,上海市
362,120.897613,31.066995,18.0,10.0,上海市
363,120.898863,31.070514,19.0,10.0,上海市
364,120.899575,31.075093,20.0,10.0,上海市
365,120.899601,31.076628,21.0,10.0,上海市
366,120.899341,31.077497,22.0,10.0,上海市
367,120.899619,31.078361,23.0,10.0,上海市
368,120.900608,31.078443,24.0,10.0,上海市
369,120.901832,31.078115,25.0,10.0,上海市
370,120.903403,31.078067,26.0,10.0,上海市
371,120.904618,31.078523,27.0,10.0,上海市
372,120.905026,31.079387,28.0,10.0,上海市
373,120.904723,31.080497,29.0,10.0,上海市
374,120.90283,31.082716,30.0,10.0,上海市
375,120.902023,31.083398,31.0,10.0,上海市
376,120.901676,31.084093,32.0,10.0,上海市
377,120.902023,31.084992,33.0,10.0,上海市
378,120.90211,31.085659,34.0,10.0,上海市
379,120.900461,31.086703,35.0,10.0,上海市
380,120.899298,31.086936,36.0,10.0,上海市
381,120.897762,31.086676,37.0,10.0,上海市
382,120.896695,31.086646,38.0,10.0,上海市
383,120.896322,31.087721,39.0,10.0,上海市
384,120.896088,31.089432,40.0,10.0,上海市
385,120.895419,31.090707,41.0,10.0,上海市
386,120.893858,31.091404,42.0,10.0,上海市
387,120.892696,31.092825,43.0,10.0,上海市
388,120.892175,31.094189,44.0,10.0,上海市
389,120.892782,31.095841,45.0,10.0,上海市
390,120.892843,31.096538,46.0,10.0,上海市
391,120.892349,31.097494,47.0,10.0,上海市
392,120.891221,31.097175,48.0,10.0,上海市
393,120.890961,31.095784,49.0,10.0,上海市
394,120.891021,31.094305,50.0,10.0,上海市
395,120.890266,31.093986,51.0,10.0,上海市
396,120.887482,31.094075,52.0,10.0,上海市
397,120.882391,31.095182,53.0,10.0,上海市
398,120.878628,31.095418,54.0,10.0,上海市
